Equipo Local,Equipo Visitante,Año,GolesLocal,GolesVisitante
Oporto,Olympiacos,2020,2,0
Marsella,Man. City,2020,0,3
Man. City,Olympiacos,2020,3,0
Oporto,Marsella,2020,3,0
Olympiacos,Man. City,2020,0,1
Marsella,Oporto,2020,0,2
Oporto,Man. City,2020,0,0
Marsella,Olympiacos,2020,2,1
Man. City,Marsella,2020,3,0
Olympiacos,Oporto,2020,0,2
Ajax,Liverpool,2020,0,1
Midtjylland,Atalanta,2020,0,4
Liverpool,Midtjylland,2020,2,0
Atalanta,Ajax,2020,2,2
Midtjylland,Ajax,2020,1,2
Atalanta,Liverpool,2020,0,5
Liverpool,Atalanta,2020,0,2
Ajax,Midtjylland,2020,3,1
Liverpool,Ajax,2020,1,0
Atalanta,Midtjylland,2020,1,1
Ajax,Atalanta,2020,0,1
Midtjylland,Liverpool,2020,1,1
Chelsea,Sevilla,2020,0,0
Rennes,Krasnodar,2020,1,1
Krasnodar,Chelsea,2020,0,4
Sevilla,Rennes,2020,1,0
Sevilla,Krasnodar,2020,3,2
Chelsea,Rennes,2020,3,0
Krasnodar,Sevilla,2020,1,2
Rennes,Chelsea,2020,1,2
Krasnodar,Rennes,2020,1,0
Sevilla,Chelsea,2020,0,4
Chelsea,Krasnodar,2020,1,1
Rennes,Sevilla,2020,1,3
Zenit,Brujas,2020,1,2
Lazio,B. Dortmund,2020,3,1
B. Dortmund,Zenit,2020,2,0
Brujas,Lazio,2020,1,1
Zenit,Lazio,2020,1,1
Brujas,B. Dortmund,2020,0,3
Lazio,Zenit,2020,3,1
B. Dortmund,Brujas,2020,3,0
B. Dortmund,Lazio,2020,1,1
Brujas,Zenit,2020,3,0
Zenit,B. Dortmund,2020,1,2
Lazio,Brujas,2020,2,2
Dynamo Kiev,Juventus,2020,0,2
Barcelona,Ferencváros,2020,5,1
Juventus,Barcelona,2020,0,2
Ferencváros,Dynamo Kiev,2020,2,2
Barcelona,Dynamo Kiev,2020,2,1
Ferencváros,Juventus,2020,1,4
Juventus,Ferencváros,2020,2,1
Dynamo Kiev,Barcelona,2020,0,4
Juventus,Dynamo Kiev,2020,3,0
Ferencváros,Barcelona,2020,0,3
Barcelona,Juventus,2020,0,3
Dynamo Kiev,Ferencváros,2020,1,0
PSG,Man. United,2020,1,2
Leipzig,Basaksehir,2020,2,0
Basaksehir,PSG,2020,0,2
Man. United,Leipzig,2020,5,0
Basaksehir,Man. United,2020,2,1
Leipzig,PSG,2020,2,1
PSG,Leipzig,2020,1,0
Man. United,Basaksehir,2020,4,1
Basaksehir,Leipzig,2020,3,4
Man. United,PSG,2020,1,3
PSG,Basaksehir,2020,5,1
Leipzig,Man. United,2020,3,2
Leipzig,Liverpool,2020,0,2
Barcelona,PSG,2020,1,4
Oporto,Juventus,2020,2,1
Sevilla,B. Dortmund,2020,2,3
Lazio,Bayern,2020,1,4
Atlético,Chelsea,2020,0,1
M'gladbach,Man. City,2020,0,2
Atalanta,R. Madrid,2020,0,1
Liverpool,Leipzig,2020,2,0
PSG,Barcelona,2020,1,1
Juventus,Oporto,2020,3,2
B. Dortmund,Sevilla,2020,2,2
Bayern,Lazio,2020,2,1
Chelsea,Atlético,2020,2,0
Man. City,M'gladbach,2020,2,0
R. Madrid,Atalanta,2020,3,1
Man. City,B. Dortmund,2020,2,1
R. Madrid,Liverpool,2020,3,1
Oporto,Chelsea,2020,0,2
Bayern,PSG,2020,2,3
B. Dortmund,Man. City,2020,1,2
Liverpool,R. Madrid,2020,0,0
Chelsea,Oporto,2020,0,1
PSG,Bayern,2020,0,1
R. Madrid,Chelsea,2020,1,1
PSG,Man. City,2020,1,2
Chelsea,R. Madrid,2020,2,0
Man. City,PSG,2020,2,0
Man. City,Chelsea,2020,0,1
Man. City,Leipzig,2021,6,3
Brujas,PSG,2021,1,1
PSG,Man. City,2021,2,0
Leipzig,Brujas,2021,1,2
Brujas,Man. City,2021,1,5
PSG,Leipzig,2021,3,2
Man. City,Brujas,2021,4,1
Leipzig,PSG,2021,2,2
Man. City,PSG,2021,2,1
Brujas,Leipzig,2021,0,5
PSG,Brujas,2021,4,1
Leipzig,Man. City,2021,2,1
Atlético,Oporto,2021,0,0
Liverpool,Milan,2021,3,2
Oporto,Liverpool,2021,1,5
Milan,Atlético,2021,1,2
Atlético,Liverpool,2021,2,3
Oporto,Milan,2021,1,0
Milan,Oporto,2021,1,1
Liverpool,Atlético,2021,2,0
Atlético,Milan,2021,0,1
Liverpool,Oporto,2021,2,0
Milan,Liverpool,2021,1,2
Oporto,Atlético,2021,1,3
Besiktas,B. Dortmund,2021,1,2
Sporting CP,Ajax,2021,1,5
Ajax,Besiktas,2021,2,0
B. Dortmund,Sporting CP,2021,1,0
Besiktas,Sporting CP,2021,1,4
Ajax,B. Dortmund,2021,4,0
B. Dortmund,Ajax,2021,1,3
Sporting CP,Besiktas,2021,4,0
Besiktas,Ajax,2021,1,2
Sporting CP,B. Dortmund,2021,3,1
B. Dortmund,Besiktas,2021,5,0
Ajax,Sporting CP,2021,4,2
Sheriff,Shakhtar,2021,2,0
Inter,R. Madrid,2021,0,1
Shakhtar,Inter,2021,0,0
R. Madrid,Sheriff,2021,1,2
Shakhtar,R. Madrid,2021,0,5
Inter,Sheriff,2021,3,1
R. Madrid,Shakhtar,2021,2,1
Sheriff,Inter,2021,1,3
Inter,Shakhtar,2021,2,0
Sheriff,R. Madrid,2021,0,3
R. Madrid,Inter,2021,2,0
Shakhtar,Sheriff,2021,1,1
Barcelona,Bayern,2021,0,3
Dynamo Kiev,Benfica,2021,0,0
Bayern,Dynamo Kiev,2021,5,0
Benfica,Barcelona,2021,3,0
Barcelona,Dynamo Kiev,2021,1,0
Benfica,Bayern,2021,0,4
Bayern,Benfica,2021,5,2
Dynamo Kiev,Barcelona,2021,0,1
Dynamo Kiev,Bayern,2021,1,2
Barcelona,Benfica,2021,0,0
Bayern,Barcelona,2021,3,0
Benfica,Dynamo Kiev,2021,2,0
Young Boys,Man. United,2021,2,1
Villarreal,Atalanta,2021,2,2
Atalanta,Young Boys,2021,1,0
Man. United,Villarreal,2021,2,1
Young Boys,Villarreal,2021,1,4
Man. United,Atalanta,2021,3,2
Atalanta,Man. United,2021,2,2
Villarreal,Young Boys,2021,2,0
Villarreal,Man. United,2021,0,2
Young Boys,Atalanta,2021,3,3
Man. United,Young Boys,2021,1,1
Atalanta,Villarreal,2021,2,3
Sevilla,Salzburgo,2021,1,1
Lille,Wolfsburgo,2021,0,0
Salzburgo,Lille,2021,2,1
Wolfsburgo,Sevilla,2021,1,1
Salzburgo,Wolfsburgo,2021,3,1
Lille,Sevilla,2021,0,0
Wolfsburgo,Salzburgo,2021,2,1
Sevilla,Lille,2021,1,2
Sevilla,Wolfsburgo,2021,2,0
Lille,Salzburgo,2021,1,0
Salzburgo,Sevilla,2021,1,0
Wolfsburgo,Lille,2021,1,3
Chelsea,Zenit,2021,1,0
Malmö,Juventus,2021,0,3
Zenit,Malmö,2021,4,0
Juventus,Chelsea,2021,1,0
Chelsea,Malmö,2021,4,0
Zenit,Juventus,2021,0,1
Malmö,Chelsea,2021,0,1
Juventus,Zenit,2021,4,2
Chelsea,Juventus,2021,4,0
Malmö,Zenit,2021,1,1
Juventus,Malmö,2021,1,0
Zenit,Chelsea,2021,3,3
Sporting CP,Man. City,2021,0,5
PSG,R. Madrid,2021,1,0
Salzburgo,Bayern,2021,1,1
Inter,Liverpool,2021,0,2
Chelsea,Lille,2021,2,0
Villarreal,Juventus,2021,1,1
Benfica,Ajax,2021,2,2
Atlético,Man. United,2021,1,1
Man. City,Sporting CP,2021,0,0
R. Madrid,PSG,2021,3,1
Bayern,Salzburgo,2021,7,1
Liverpool,Inter,2021,0,1
Lille,Chelsea,2021,1,2
Juventus,Villarreal,2021,0,3
Ajax,Benfica,2021,0,1
Man. United,Atlético,2021,0,1
Man. City,Atlético,2021,1,0
Benfica,Liverpool,2021,1,3
Chelsea,R. Madrid,2021,1,3
Villarreal,Bayern,2021,1,0
Atlético,Man. City,2021,0,0
Liverpool,Benfica,2021,3,3
R. Madrid,Chelsea,2021,2,3
Bayern,Villarreal,2021,1,1
Man. City,R. Madrid,2021,4,3
Liverpool,Villarreal,2021,2,0
R. Madrid,Man. City,2021,3,1
Villarreal,Liverpool,2021,2,3
Liverpool,R. Madrid,2021,0,1
